기준일자|노선명|전환_노선ID|승차_정류장순번|승차_정류장ARS|승차_정류장표준코드|승차_정류장명|하차_정류장순번|하차_정류장ARS|하차_정류장표준코드|하차_정류장명|승객수
|102|100100007|64|11256|110000156|상계주공4단지|||277102436|7단지영업소(가상)|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|||277102436|한성운수종점(기점가상)|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|||277102436||2,,
|1133|100100149|40|11282|110000182|월계1동경로당|||277102436|삼화상운(기점가상)|1,,
|1133|100100149|||277102436|삼화상운(기점가상)|||277102436||1,,
|1213|100100175|35|08107|107000017|국민대앞|||277102436|경성여객(기점가상)|1,,
|1213|100100175|44|08127|107000037|종암사거리|||277102436|경성여객(기점가상)|1,,
|1213|100100175|62|07224|106000129|하나은행면목지점|||277102436|경성여객(기점가상)|1,,
|1218|100100177|||277102436|한성운수종점(기점가상)|||277102436||1,,
|143|100100022|102|08006|107000006|미아리고개.미아리예술극장|||277102436|대진여객차고지(가상)|1,,
|143|100100022|||277102436|대진여객차고지(가상)|||277102436|대진여객차고지(가상)|3,,
|143|100100022|||277102436|대진여객차고지(가상)|||277102436||9,,
|145|100100024|||277102436|한성운수종점(기점가상)|||277102436|한성운수종점(기점가상)|1,,
|148|100100027|83|09209|108000121|수송초등학교|||277102436|한성운수종점(기점가상)|1,,
|148|100100027|||277102436|한성운수종점(기점가상)|||277102436||1,,
|151|100100030|||277102436|우이동도선사입구(기점가상)|||277102436||1,,
|162|100100034|||277102436|대진여객차고지(가상)|||277102436|대진여객차고지(가상)|2,,
|162|100100034|||277102436|대진여객차고지(가상)|||277102436||3,,
|171|100100036|74|08008|107000008|돈암사거리.성신여대입구|||277102436|도원교통차고지(가상)|1,,
|171|100100036|||277102436|도원교통차고지(가상)|||277102436|도원교통차고지(가상)|6,,
|171|100100036|||277102436|도원교통차고지(가상)|||277102436||13,,
|1711|100100185|||277102436|도원교통차고지(가상)|||277102436||1,,
|2230|100100203|57|06213|105000127|장안2동주민센터|||277102436|북부운수차고지(가상)|1,,
|2230|100100203|77|07267|106000172|중랑구청|||277102436|북부운수차고지(가상)|3,,
|2230|100100203|80|07261|106000166|쌍용아파트.신내테크노타운앞|||277102436|북부운수차고지(가상)|1,,
|2230|100100203|81|07411|106000313|신내쌍용아파트|||277102436|북부운수차고지(가상)|2,,
|2230|100100203|83|07167|106000073|상봉역4번출구|||277102436|북부운수차고지(가상)|2,,
|2230|100100203|84|07169|106000075|면목초등학교|||277102436|북부운수차고지(가상)|1,,
|2230|100100203|85|07170|106000076|지하철7호선면목역|||277102436|북부운수차고지(가상)|2,,
|2230|100100203|86|07173|106000079|면목본동주민센터.면목정보도서관|||277102436|북부운수차고지(가상)|5,,
|2230|100100203|87|07175|106000081|면동초등학교|||277102436|북부운수차고지(가상)|4,,
|2230|100100203|88|07177|106000083|면목우체국.녹색병원|||277102436|북부운수차고지(가상)|2,,
|2230|100100203|89|07179|106000085|사가정역2번출구|||277102436|북부운수차고지(가상)|3,,
|2230|100100203|90|07180|106000086|면목시장|||277102436|북부운수차고지(가상)|1,,
|2230|100100203|91|07182|106000088|면목7동주민센터.면남초등학교|||277102436|북부운수차고지(가상)|4,,
|2230|100100203|||277102436|북부운수차고지(가상)|||277102436||2,,
|261|100100043|||277102436|상진운수종점(가상)|||277102436||2,,
|262|100100044|||277102436|중랑공영차고지(기점가상)|||277102436|중랑공영차고지(기점가상)|1,,
|270|100100046|||277102436|상암차고지(가상)|||277102436|상암차고지(가상)|2,,
|271|100100047|95|01017|100000392|종로4가.종묘|||277102436|경성여객(기점가상)|1,,
|271|100100047|97|01021|100000396|종로6가.동대문종합시장|||277102436|경성여객(기점가상)|1,,
|271|100100047|120|07190|106000096|용마공원입구|||277102436|경성여객(기점가상)|1,,
|271|100100047|||277102436|경성여객(기점가상)|||277102436||1,,
|272|100100048|56|13012|112000012|연세대앞|||277102436|북부운수차고지(가상)|1,,
|272|100100048|65|01224|100000128|창경궁.서울대학교병원|||277102436|북부운수차고지(가상)|1,,
|272|100100048|66|01227|100000131|명륜동2가.성균관대입구|||277102436|북부운수차고지(가상)|2,,
|272|100100048|73|08183|107000093|보문동주민센터|||277102436|북부운수차고지(가상)|1,,
|272|100100048|75|06025|105000484|용두동사거리|||277102436|북부운수차고지(가상)|1,,
|272|100100048|77|06426|105000488|청량리수산시장|||277102436|북부운수차고지(가상)|3,,
