기준일자|노선명|전환_노선ID|승차_정류장순번|승차_정류장ARS|승차_정류장표준코드|승차_정류장명|하차_정류장순번|하차_정류장ARS|하차_정류장표준코드|하차_정류장명|승객수
|0017|100100124|2|03252|102000158|신용산지하차도|5|03122||한강대교북단|6,,
|0017|100100124|2|03252|102000158|신용산지하차도|11|03296||원효2동산호아파트후문|5,,
|0017|100100124|2|03252|102000158|신용산지하차도|15|03306||산천동.성심여중고후문|2,,
|0017|100100124|3|03255|102000161|용산역|5|03122||한강대교북단|72,,
|0017|100100124|3|03255|102000161|용산역|11|03296||원효2동산호아파트후문|44,,
|0017|100100124|3|03255|102000161|용산역|15|03306||산천동.성심여중고후문|5,,
|0017|100100124|3|03255|102000161|용산역|18|03312||용문시장.용문동새마을금고|3,,
|0017|100100124|3|03255|102000161|용산역|13|03321||청심경로당|14,,
|0017|100100124|4|03256|102000162|용산푸르지오써밋|5|03122||한강대교북단|2,,
|0017|100100124|4|03256|102000162|용산푸르지오써밋|11|03296||원효2동산호아파트후문|1,,
|0017|100100124|5|03122||한강대교북단|5|03122||한강대교북단|5,,
|0017|100100124|5|03122||한강대교북단|11|03296||원효2동산호아파트후문|15,,
|0017|100100124|5|03122||한강대교북단|15|03306||산천동.성심여중고후문|20,,
|0017|100100124|5|03122||한강대교북단|16|03308||신창동세방아파트|2,,
|0017|100100124|5|03122||한강대교북단|17|03310||남이장군사당|4,,
|0017|100100124|5|03122||한강대교북단|18|03312||용문시장.용문동새마을금고|5,,
|0017|100100124|5|03122||한강대교북단|13|03321||청심경로당|11,,
|0017|100100124|6|03294|102000200|서부이촌동입구|11|03296||원효2동산호아파트후문|6,,
|0017|100100124|6|03294|102000200|서부이촌동입구|15|03306||산천동.성심여중고후문|10,,
|0017|100100124|6|03294|102000200|서부이촌동입구|16|03308||신창동세방아파트|1,,
|0017|100100124|6|03294|102000200|서부이촌동입구|17|03310||남이장군사당|5,,
|0017|100100124|6|03294|102000200|서부이촌동입구|18|03312||용문시장.용문동새마을금고|18,,
|0017|100100124|6|03294|102000200|서부이촌동입구|13|03321||청심경로당|3,,
|0017|100100124|7|03292|102000198|이촌2동대림아파트.새남터성지|11|03296||원효2동산호아파트후문|3,,
|0017|100100124|7|03292|102000198|이촌2동대림아파트.새남터성지|15|03306||산천동.성심여중고후문|6,,
|0017|100100124|7|03292|102000198|이촌2동대림아파트.새남터성지|16|03308||신창동세방아파트|1,,
|0017|100100124|7|03292|102000198|이촌2동대림아파트.새남터성지|17|03310||남이장군사당|3,,
|0017|100100124|7|03292|102000198|이촌2동대림아파트.새남터성지|18|03312||용문시장.용문동새마을금고|11,,
|0017|100100124|7|03292|102000198|이촌2동대림아파트.새남터성지|13|03321||청심경로당|3,,
|0017|100100124|8|03290|102000197|이촌2동주민센터|15|03306||산천동.성심여중고후문|5,,
|0017|100100124|8|03290|102000197|이촌2동주민센터|16|03308||신창동세방아파트|4,,
|0017|100100124|8|03290|102000197|이촌2동주민센터|17|03310||남이장군사당|3,,
|0017|100100124|8|03290|102000197|이촌2동주민센터|18|03312||용문시장.용문동새마을금고|5,,
|0017|100100124|8|03290|102000197|이촌2동주민센터|13|03321||청심경로당|4,,
|0017|100100124|9|03288|102000195|성촌공원.포르쉐센터용산|11|03296||원효2동산호아파트후문|3,,
