기준일자|노선명|전환_노선ID|승차_정류장순번|승차_정류장ARS|승차_정류장표준코드|승차_정류장명|하차_정류장순번|하차_정류장ARS|하차_정류장표준코드|하차_정류장명|승객수
|101|100100006|||277102436|우이동도선사입구(기점가상)|13|10015|109000015|쌍문역|2,,
|101|100100006|||277102436|우이동도선사입구(기점가상)|9|10212|109000127|쌍문동한양.현대아파트|1,,
|101|100100006|||277102436|우이동도선사입구(기점가상)|10|10214|109000129|쌍문동삼익.금호1차아파트|1,,
|102|100100007|||277102436|7단지영업소(가상)|21|09007|108000007|미아역.신일중고|1,,
|102|100100007|||277102436|7단지영업소(가상)|18|09148|108000060|강북경찰서입구|1,,
|102|100100007|||277102436|7단지영업소(가상)|19|09267|108000179|수유사거리|1,,
|102|100100007|||277102436|7단지영업소(가상)|9|10279|109000191|창동주공17단지|1,,
|102|100100007|||277102436|7단지영업소(가상)|14|10331|109000242|신창.창동시장|1,,
|102|100100007|||277102436|7단지영업소(가상)|3|11210|110000110|노원역9번출구|1,,
|102|100100007|||277102436|7단지영업소(가상)|4|11244|110000144|노원역6번출구.상계주공3단지|1,,
|102|100100007|||277102436|7단지영업소(가상)|5|11245|110000145|상계주공2단지|1,,
|104|100100009|||277102436|선일교통(가상)|24|01198|100000102|원남동|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|16|08133|107000043|월곡역|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|14|08138|107000048|월곡중학교|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|13|08140|107000050|새석관시장|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|12|08142|107000052|돌곶이역1번출구|2,,
|1111|100100132|||277102436|한성운수종점(기점가상)|7|08187|107000097|광운초교앞|2,,
|1111|100100132|||277102436|한성운수종점(기점가상)|9|08189|107000099|성북청소년센터|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|10|08191|107000101|장위자이레디언트아파트|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|23|08302|107000206|안암역2번출구|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|2|09176|108000088|강북보건소|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|3|09180|108000092|번동주공4단지|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|||277102436|한성운수종점(기점가상)|1,,
|1111|100100132|||277102436|한성운수종점(기점가상)|||277102436||2,,
|1113|100100133|||277102436|대진여객차고지(가상)|12|08101|107000011|숭곡초교입구|2,,
|1113|100100133|||277102436|대진여객차고지(가상)|7|08119|107000029|숭덕초교|5,,
|1113|100100133|||277102436|대진여객차고지(가상)|8|08121|107000031|정릉길음시장|1,,
|1113|100100133|||277102436|대진여객차고지(가상)|17|08131|107000041|성북구보건소|1,,
|1113|100100133|||277102436|대진여객차고지(가상)|2|08163|107000073|정릉4동주민센터.경국사|2,,
|1113|100100133|||277102436|대진여객차고지(가상)|4|08165|107000075|성북청수도서관.정릉4동성당|3,,
|1113|100100133|||277102436|대진여객차고지(가상)|6|08169|107000079|정릉우체국앞|6,,
|1113|100100133|||277102436|대진여객차고지(가상)|9|08245|107000150|길음시장|6,,
