기준일자|노선명|전환_노선ID|승차_정류장순번|승차_정류장ARS|승차_정류장표준코드|승차_정류장명|하차_정류장순번|하차_정류장ARS|하차_정류장표준코드|하차_정류장명|승객수
|0017|100100124|5|03122||한강대교북단|5|03122||한강대교북단|5,,
|0017|100100124|5|03122||한강대교북단|10|03287|102000193|이촌119안전센터.성촌공원|7,,
|0017|100100124|5|03122||한강대교북단|9|03288|102000194|성촌공원.포르쉐센터용산|15,,
|0017|100100124|5|03122||한강대교북단|8|03290|102000196|이촌2동주민센터|34,,
|0017|100100124|5|03122||한강대교북단|7|03292|102000198|이촌2동대림아파트.새남터성지|73,,
|0017|100100124|5|03122||한강대교북단|6|03294|102000200|서부이촌동입구|36,,
|0017|100100124|5|03122||한강대교북단|11|03296||원효2동산호아파트후문|15,,
|0017|100100124|5|03122||한강대교북단|12|03298|102000204|청암동강변삼성아파트|27,,
|0017|100100124|5|03122||한강대교북단|14|03304|102000210|원효2동주민센터|6,,
|0017|100100124|5|03122||한강대교북단|15|03306||산천동.성심여중고후문|20,,
|0017|100100124|5|03122||한강대교북단|16|03308||신창동세방아파트|2,,
|0017|100100124|5|03122||한강대교북단|17|03310||남이장군사당|4,,
|0017|100100124|5|03122||한강대교북단|18|03312||용문시장.용문동새마을금고|5,,
|0017|100100124|5|03122||한강대교북단|13|03321||청심경로당|11,,
|0017|100100124|11|03296||원효2동산호아파트후문|22|03119|102000026|신용산역3번출구|4,,
|0017|100100124|11|03296||원효2동산호아파트후문|19|03247|102000153|용문시장|1,,
|0017|100100124|11|03296||원효2동산호아파트후문|20|03250|102000156|용산전자상가입구|1,,
|0017|100100124|11|03296||원효2동산호아파트후문|21|03252|102000158|신용산지하차도|2,,
|0017|100100124|11|03296||원효2동산호아파트후문|11|03296||원효2동산호아파트후문|1,,
|0017|100100124|11|03296||원효2동산호아파트후문|17|03310||남이장군사당|2,,
|0017|100100124|11|03296||원효2동산호아파트후문|18|03312||용문시장.용문동새마을금고|3,,
|0017|100100124|13|03321||청심경로당|22|03119|102000026|신용산역3번출구|44,,
|0017|100100124|13|03321||청심경로당|19|03247|102000153|용문시장|6,,
|0017|100100124|13|03321||청심경로당|20|03250|102000156|용산전자상가입구|6,,
|0017|100100124|13|03321||청심경로당|21|03252|102000158|신용산지하차도|10,,
|0017|100100124|13|03321||청심경로당|15|03306||산천동.성심여중고후문|5,,
|0017|100100124|13|03321||청심경로당|16|03308||신창동세방아파트|2,,
|0017|100100124|13|03321||청심경로당|17|03310||남이장군사당|16,,
|0017|100100124|13|03321||청심경로당|18|03312||용문시장.용문동새마을금고|26,,
|0017|100100124|15|03306||산천동.성심여중고후문|22|03119|102000026|신용산역3번출구|105,,
|0017|100100124|15|03306||산천동.성심여중고후문|19|03247|102000153|용문시장|22,,
|0017|100100124|15|03306||산천동.성심여중고후문|20|03250|102000156|용산전자상가입구|9,,
|0017|100100124|15|03306||산천동.성심여중고후문|21|03252|102000158|신용산지하차도|26,,
|0017|100100124|15|03306||산천동.성심여중고후문|16|03308||신창동세방아파트|2,,
|0017|100100124|15|03306||산천동.성심여중고후문|17|03310||남이장군사당|19,,
|0017|100100124|15|03306||산천동.성심여중고후문|18|03312||용문시장.용문동새마을금고|60,,
|0017|100100124|16|03308||신창동세방아파트|22|03119|102000026|신용산역3번출구|88,,
|0017|100100124|16|03308||신창동세방아파트|19|03247|102000153|용문시장|9,,
|0017|100100124|16|03308||신창동세방아파트|20|03250|102000156|용산전자상가입구|4,,
|0017|100100124|16|03308||신창동세방아파트|21|03252|102000158|신용산지하차도|27,,
|0017|100100124|16|03308||신창동세방아파트|16|03308||신창동세방아파트|1,,
|0017|100100124|16|03308||신창동세방아파트|17|03310||남이장군사당|12,,
|0017|100100124|16|03308||신창동세방아파트|18|03312||용문시장.용문동새마을금고|23,,
|0017|100100124|17|03310||남이장군사당|22|03119|102000026|신용산역3번출구|27,,
|0017|100100124|17|03310||남이장군사당|19|03247|102000153|용문시장|1,,
|0017|100100124|17|03310||남이장군사당|20|03250|102000156|용산전자상가입구|5,,
|0017|100100124|17|03310||남이장군사당|21|03252|102000158|신용산지하차도|14,,
|0017|100100124|18|03312||용문시장.용문동새마을금고|22|03119|102000026|신용산역3번출구|62,,
|0017|100100124|18|03312||용문시장.용문동새마을금고|19|03247|102000153|용문시장|1,,
|0017|100100124|18|03312||용문시장.용문동새마을금고|20|03250|102000156|용산전자상가입구|6,,
|0017|100100124|18|03312||용문시장.용문동새마을금고|21|03252|102000158|신용산지하차도|18,,
|0017|100100124|18|03312||용문시장.용문동새마을금고|18|03312||용문시장.용문동새마을금고|1,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|38|03001|102000001|한강대교북단.LG유플러스|13,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|39|03003|102000003|신용산역|3,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|34|03289|102000195|성촌공원.포르쉐센터용산|16,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|35|03291|102000197|이촌2동주민센터|15,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|36|03293|102000199|이촌2동대림아파트.새남터성지|9,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|37|03295|102000201|이촌2동강변아파트|18,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|32|03299|102000205|원효2동산호아파트|14,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|33|03301|102000207|원효로풍전아파트|3,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|30|03305|102000211|산천동리버힐삼성아파트|46,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|29|03307||산천동.성심여중고후문|75,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|28|03309||신창동세방아파트|60,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|27|03311||남이장군사당|16,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|26|03313||용문시장.용문동새마을금고|1,,
|0017|100100124|26|03313||용문시장.용문동새마을금고|31|03322||삼성테마트|25,,
