노선명|count
411|1287
40|1198
Jan-01|74
2221|13
8146|5
8641|4
702B|3
9409|3
종로02|3
4319|2
702A|2
707|2
노원05|2
영등포02|2
6514|1
6616|1
672|1
674|1
8101|1
8442출근|1
8661|1
8773|1
9408|1
N31|1
N62|1
N72|1
강북06|1
강북09|1
강북11|1
관악02-1|1
관악02-2|1
관악05|1
관악08|1
관악11|1
광진01|1
광진02|1
구로01|1
구로02|1
구로05|1
구로08|1
구로10|1
구로11|1
금천04|1
금천08|1
노원08|1
도봉05|1
도봉06|1
도봉07|1
도봉09|1
동대문01|1
동작06|1
동작08|1
동작09|1
동작11|1
마포05|1
마포06|1
마포09|1
마포11|1
마포12|1
마포18-1|1
서대문01|1
서대문02소|1
서대문05|1
서대문08|1
서대문14|1
서초10|1
서초11|1
서초22|1
성동01|1
성동03-1|1
성동14|1
성북02|1
성북05|1
성북08|1
성북20|1
성북21|1
성북22|1
영등포01|1
영등포08|1
영등포10|1
영등포11|1
영등포12|1
용산01|1
용산02|1
용산03|1
용산04|1
종로01|1
종로03|1
종로05|1
종로09|1
