날짜,휴일명
2020-01-01,신정
2020-01-24,설날연휴
2020-01-25,설날
2020-01-26,설날연휴
2020-01-27,대체휴일
2020-03-01,삼일절
2020-04-15,21대 국회의원 선거
2020-04-30,부처님오신날
2020-05-05,어린이날
2020-06-06,현충일
2020-08-15,광복절
2020-08-17,임시공휴일
2020-09-30,추석연휴
2020-10-01,추석
2020-10-02,추석연휴
2020-10-03,개천절
2020-10-09,한글날
2020-12-25,성탄절
2021-01-01,신정
2021-02-11,설날연휴
2021-02-12,설날
2021-02-13,설날연휴
2021-03-01,삼일절
2021-05-05,어린이날
2021-05-19,부처님오신날
2021-06-06,현충일
2021-08-15,광복절
2021-08-16,대체휴일
2021-09-20,추석연휴
2021-09-21,추석
2021-09-22,추석연휴
2021-10-03,개천절
2021-10-04,대체휴일
2021-10-09,한글날
2021-10-11,대체휴일
2021-12-25,성탄절
2022-01-01,신정
2022-01-31,설날연휴
2022-02-01,설날
2022-02-02,설날연휴
2022-03-01,삼일절
2022-03-09,제20대 대통령 선거
2022-05-05,어린이날
2022-05-08,부처님오신날
2022-06-01,2022년 지방선거
2022-06-06,현충일
2022-08-15,광복절
2022-09-09,추석연휴
2022-09-10,추석
2022-09-11,추석연휴
2022-09-12,대체휴일
2022-10-03,개천절
2022-10-09,한글날
2022-10-10,대체휴일
2022-12-25,성탄절
2023-01-01,신정
2023-01-21,설날연휴
2023-01-22,설날
2023-01-23,설날연휴
2023-01-24,대체휴일
2023-03-01,삼일절
2023-05-05,어린이날
2023-05-27,부처님오신날
2023-05-29,대체휴일
2023-06-06,현충일
2023-08-15,광복절
2023-09-28,추석연휴
2023-09-29,추석
2023-09-30,추석연휴
2023-10-02,임시공휴일
2023-10-03,개천절
2023-10-09,한글날
2023-12-25,성탄절
2024-01-01,신정
2024-01-09,설날연휴
2024-01-10,설날
2024-01-11,설날연휴
2024-01-12,대체휴일
2024-03-01,삼일절
2024-04-10,22대 국회의원 선거
2024-05-05,어린이날
2024-05-06,대체휴일
2024-05-15,부처님오신날
2024-06-06,현충일
2024-08-15,광복절
2024-09-16,추석연휴
2024-09-17,추석
2024-09-18,추석연휴
2024-10-03,개천절
2024-10-09,한글날
2024-12-25,성탄절
2025-01-01,신정
2025-01-24,임시공휴일
2025-01-28,설날
2025-01-29,설날
2025-01-30,설날
2025-03-01,삼일절
2025-03-03,대체공휴일
2025-05-05,"어린이날,부처님오신날"
2025-05-06,대체공휴일
2025-06-03,대통령선거
2025-06-06,현충일
2025-08-15,광복절
2025-10-03,개천절
2025-10-05,추석연휴
2025-10-06,추석
2025-10-07,추석연휴
2025-10-08,대체 공휴일
2025-10-09,한글날
2025-12-25,성탄절
2026-01-01,신정
2026-02-16,설날 연휴
2026-02-17,설날
2026-02-18,설날 연휴
2026-03-02,삼일절 대체 휴일
2026-05-01,노동절
2026-05-05,어린이날
2026-05-25,부처님 오신 날 대체 휴일
2026-06-03,2026 지방선거
2026-07-17,제헌절
2026-08-17,광복절 대체 휴일
2026-09-24,추석 연휴
2026-09-25,추석
2026-10-05,개천절 대체 휴일
2026-10-09,한글날
2026-12-25,성탄절
